ID,NAME,ADDRESS,CITY,URL,PHONE,TYPE,ZIP
882,TechSpace,41 East 11th Street,New York,http://www.techspace.com/,212-331-1100,Free,10003
883,TechSpace,95 Morton Street,New York,http://www.techspace.com/,212-331-1100,Free,10014
884,The Cellar,325 East 14th Street,New York,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_The_Cellar_New_York_NY_17413.aspx,212-477-7747,Free,10003
887,Cafe Ari,3 Greenwich Ave,New York,,212-206-7776,Free,10014
888,Dante's Gourmet Foods,166 William Street,New York,http://www.yelp.com/biz/dantes-gourmet-foods-new-york,212-233-2255,Free,10038
889,Think Coffee,118 Mercer Street,New York,http://www.thinkcoffeenyc.com/,212-228-6226,Free,10012
890,Applebee's,205 West 50th Street,New York,http://www.nyu.edu/src/cityguide/cityinfo.html,212-262-2400,Free,10019
891,Eagle Communication,1751 2nd Avenue,New York,http://www.ezgoal.com/hotspots/wireless/f.asp?fid=151674&wireless-internet,516-852-8649,Free,10128
892,Faces and Names,161 West 54th Street,New York,http://www.ezgoal.com/hotspots/wireless/f.asp?fid=122309&wireless-internet,212-586-9311,Free,10019
893,Full City Coffee,409 Grand Street,New York,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Full_City_Coffee_New_York_NY_6396.aspx,212-260-2363,Free,10002
894,Schiller's Liquor Bar,131 Rivington St.,New York,http://www.wififreespot.com/ny.html,888-287-7913,Free,10002
895,Naidre's,502 Henry Street,Brooklyn,http://www.naidres.com/,718-596-3400,Free,11231
897,Amazon Café,227 Smith St,Brooklyn,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Amazon_Cafe_New_York_NY_5572.aspx,718-852-5948,Free,11231
898,Cafe Andalucia,533 9th Avenue,New York,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Cafe_Andalucia_New_York_NY_10565.aspx,212-505-0657,Free,10018
899,Caffe Med,1268 2nd Avenue,New York,http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-Caffe-MED-1251392.htm,212-744-5370,Free,10021
900,Cyclo,203 1st Ave,New York,www.cyclorestaurant.com,212-673-3957,Free,10003
901,Digby's,666 5th Avenue,New York,www.digbyscafe.com,212-977-7272,Free,10019
902,Happy 16 Diner,16 Pell Street,New York,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Happy_16_Diner_New_York_NY_12949.aspx,212-962-6588,Free,10013
903,Hip Cup Café,225 Park Row,New York,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Hip_Cup_Cafe_New_York_NY_13116.aspx,212-227-8870,Free,10038
905,Les Halles Park Avenue,411 Park Avenue South,New York,http://www.leshalles.net,212-679-4111,Free,10016
906,Les Halles Downtown,15 John Street,New York,http://www.leshalles.net,212-285-8585,Free,10038
907,Lit Lounge,93 2nd Avenue,New York,http://www.litloungenyc.com,212-777-7987,Free,10003
908,Risa,47 E Houston St,New York,http://www.nyu.edu/src/cityguide/cityinfo.html,212-625-1712,Free,10012
911,Corner Scone,4279 Webster Avenue,Bronx,http://cornerscone.com/,718-231-7766,Free,10470
912,My Little Wi-Fi,144 East 7th St,New York,,,Free,10009
915,Barnes & Noble,106 Court Street,Brooklyn,http://www.barnesandnobleinc.com,,Free,11201
916,Barnes & Noble,267 7th Avenue,Brooklyn,http://www.barnesandnobleinc.com,,Free,11215
939,NYC Public Library - Allerton Branch,2740 Barnes Avenue,Bronx,http://www.nypl.org/branch/services/wifi.html,718-881-4240,Free,10467
940,NYC Public Library - Belmont Branch,610 E. 186th Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-933-6410,Free,10458
941,NYC Public Library - Bronx Library Center,310 East Kingsbridge Road,Bronx,http://www.nypl.org/branch/services/wifi.html,718-579-4288,Free,10458
942,NYC Public Library - Grand Concourse Branch,155 East 173rd Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-583-6611,Free,10457
943,NYC Public Library - High Bridge Branch,78 West 168th Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-293-7800,Free,10452
944,NYC Public Library - Melrose Branch,910 Morris Avenue,Bronx,http://www.nypl.org/branch/services/wifi.html,718-588-0110,Free,10451
945,NYC Public Library - Morris Park Branch,985 Morris Park Avenue,Bronx,http://www.nypl.org/branch/services/wifi.html,718-931-0636,Free,10462
946,NYC Public Library - Morrisania Branch,610 East 169th Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-589-9268,Free,10456
947,NYC Public Library - Mosholu Branch,285 East 205th Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-882-8239,Free,10467
948,NYC Public Library - Mott Haven Branch,321 East 140th Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-665-4878,Free,10454
949,NYC Public Library - Parkchester Branch,1985 Westchester Avenue,Bronx,http://www.nypl.org/branch/services/wifi.html,718-829-7830,Free,10462
950,NYC Public Library - Sedgwich Branch,1701 Martin Luther King Jr Blvd,Bronx,http://www.nypl.org/branch/services/wifi.html,718-731-2074,Free,10453
951,NYC Public Library - Tremont Branch,1866 Washington Avenue,Bronx,http://www.nypl.org/branch/services/wifi.html,718-299-5177,Free,10457
952,NYC Public Library - Woodstock Branch,761 East 160th Street,Bronx,http://www.nypl.org/branch/services/wifi.html,718-665-6255,Free,10456
953,NYC Public Library - Columbus Branch,742 10th Avenue,New York,http://www.nypl.org/branch/services/wifi.html,212-586-5098,Free,10019
954,NYC Public Library for the Performing Arts,40 Lincoln Center Plaza,New York,http://www.nypl.org/branch/services/wifi.html,212-870-1630,Free,10023
955,Queens Library - Arverne,312 Beach 54 Street,Arverne,http://www.queenslibrary.org/,718-634-4784,Free,11692
956,Queens Library - Auburndale,25-55 Francis Lewis Boulevard,Flushing,http://www.queenslibrary.org/,718-352-2027,Free,11358
957,Queens Library - Baisley Park,117-11 Sutphin Boulevard,Jamaica,http://www.queenslibrary.org/,718-529-1590,Free,11436
958,Queens Library - Bay Terrace,18-36 Bell Boulevard,Bayside,http://www.queenslibrary.org/,718-423-7004,Free,11360
959,Queens Library - Bayside,214-20 Northern Boulevard,Bayside,http://www.queenslibrary.org/,718-229-1834,Free,11361
960,Queens Library - Bellerose,250-06 Hillside Avenue,Bellerose,http://www.queenslibrary.org/,718-831-8644,Free,11426
961,Queens Library - Briarwood,85-12 Main Street,Briarwood,http://www.queenslibrary.org/,718-658-1680,Free,11435
962,Queens Library - Broad Channel,16-26 Cross Bay Boulevard,Broad Channel,http://www.queenslibrary.org/,718-318-4943,Free,11693
963,Queens Library - Cambria Heights,218-13 Linden Boulevard,Cambria Heights,http://www.queenslibrary.org/,718-528-3535,Free,11411
964,Queens Library - Douglaston/Little Neck,249-01 Northern Boulevard,Little Neck,http://www.queenslibrary.org/,718-225-8414,Free,11362
965,Queens Library - East Flushing,196-36 Northern Boulevard,Flushing,http://www.queenslibrary.org/,718-357-6643,Free,11358
966,Queens Library - Elmhurst  (ALC),86-01 Broadway,Elmhurst,http://www.queenslibrary.org/,718-271-1020,Free,11373
967,Queens Library - Far Rockaway,1637 Central Avenue,Far Rockaway,http://www.queenslibrary.org/,718-327-2549,Free,11691
